parcel_id,vacancy_class,source_signal
00-0000-5061,vacant,improvement_value_zero_or_null
00-0000-5079,vacant,improvement_value_zero_or_null
00-0000-5087,vacant,improvement_value_zero_or_null
00-0000-5095,vacant,improvement_value_zero_or_null
00-0000-5103,vacant,improvement_value_zero_or_null
00-0000-5111,vacant,improvement_value_zero_or_null
00-0000-5129,developed,improvement_value_ge_20pct_land_value
00-0000-5137,vacant,improvement_value_zero_or_null
00-0000-5145,vacant,improvement_value_zero_or_null
00-0000-5152,vacant,improvement_value_zero_or_null
00-0000-5160,vacant,improvement_value_zero_or_null
00-0000-5178,vacant,improvement_value_zero_or_null
00-0000-5186,vacant,improvement_value_zero_or_null
00-0000-5202,developed,improvement_value_ge_20pct_land_value
00-0000-5210,developed,missing_values_default_developed
00-0000-5228,developed,improvement_value_ge_20pct_land_value
00-0000-5251,developed,improvement_value_ge_20pct_land_value
00-0000-5269,developed,improvement_value_ge_20pct_land_value
00-0000-5277,developed,improvement_value_ge_20pct_land_value
00-0000-5285,developed,improvement_value_ge_20pct_land_value
00-0000-5293,developed,improvement_value_ge_20pct_land_value
00-0000-5301,developed,improvement_value_ge_20pct_land_value
00-0000-5319,developed,improvement_value_ge_20pct_land_value
00-0000-5327,developed,improvement_value_ge_20pct_land_value
00-0000-5335,developed,improvement_value_ge_20pct_land_value
00-0000-5343,developed,improvement_value_ge_20pct_land_value
00-0000-5350,developed,improvement_value_ge_20pct_land_value
00-0000-5368,developed,improvement_value_ge_20pct_land_value
00-0000-5376,developed,improvement_value_ge_20pct_land_value
00-0000-5384,developed,improvement_value_ge_20pct_land_value
00-0000-5392,developed,improvement_value_ge_20pct_land_value
00-0000-5400,developed,improvement_value_ge_20pct_land_value
00-0000-5418,developed,improvement_value_ge_20pct_land_value
00-0000-5426,developed,improvement_value_ge_20pct_land_value
00-0000-5434,developed,improvement_value_ge_20pct_land_value
00-0000-5442,developed,improvement_value_ge_20pct_land_value
00-0000-5459,developed,improvement_value_ge_20pct_land_value
00-0000-5467,developed,improvement_value_ge_20pct_land_value
00-0000-5483,vacant,land_use_field
00-0000-5533,developed,improvement_value_ge_20pct_land_value
00-0000-5541,developed,improvement_value_ge_20pct_land_value
00-0000-5558,developed,improvement_value_ge_20pct_land_value
00-0000-5566,developed,improvement_value_ge_20pct_land_value
00-0000-5574,developed,improvement_value_ge_20pct_land_value
00-0000-5582,developed,improvement_value_ge_20pct_land_value
00-0000-5590,developed,improvement_value_ge_20pct_land_value
00-0000-5608,developed,improvement_value_ge_20pct_land_value
00-0000-5616,developed,improvement_value_ge_20pct_land_value
00-0000-5624,developed,improvement_value_ge_20pct_land_value
00-0000-5632,developed,improvement_value_ge_20pct_land_value
00-0000-5640,developed,improvement_value_ge_20pct_land_value
00-0000-5657,developed,improvement_value_ge_20pct_land_value
00-0000-5665,developed,improvement_value_ge_20pct_land_value
00-0000-5673,developed,improvement_value_ge_20pct_land_value
00-0000-5681,developed,improvement_value_ge_20pct_land_value
00-0000-5699,developed,improvement_value_ge_20pct_land_value
00-0000-5707,developed,improvement_value_ge_20pct_land_value
00-0000-5715,developed,improvement_value_ge_20pct_land_value
00-0000-5723,developed,improvement_value_ge_20pct_land_value
00-0000-5731,developed,improvement_value_ge_20pct_land_value
00-0000-5749,developed,improvement_value_ge_20pct_land_value
